IOC 15.1,English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Source,2024 IUCN Red List category,RR,ISL,RLM,LAT,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,F,BM,WD,SH,SV,G,PL,R,D,A,RV,C,W,SE,O,O- DESC,Primary Habitat,HB,Primary Diet,IN-Wt,FR-Wt,NE-Wt,SE-Wt,VE-Wt,FI-Wt,SC-Wt,PL-Wt,MS-Wt,SUM-Wt,Desc,DB,Diet_Lit,ESI,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,Coop,Nest_Type,Nest_SBS,Brd1,Brd2,Clutch_Min,Clutch_Max,Incu_Sex,Incu1,Incu2,Fldg1,Fldg2,Para.1,Para.2,BrS1,BrS2,Prod1,Prod2,Flightlessness,Mig,Alt,Irreg,Disp,Sed
3415,Emerald-chinned Hummingbird,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Abeillia,abeillei,"HBW5, BOTW",LC,0,0,L,1,3.5,,3,,2.7,,3.07,,1000,1200,2200,,1,,,,,,,,,,,,,,,,Forest,1,Nectar,2,0,8,0,0,0,0,0,0,10,,2,1,1.699,0,0,0,0,1,0,,,0,CP,T,,,2,2,,,,,,,,,,,,No,,,,,1
25458,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Abroscopus,albogularis,"WEANA, BSEA, BOTW, D23",LC,0,0,IP,2,,,4,,4.7,5.9,4.87,300,600,600,1200,1800,1,2,,3,,,,,,,,,,,,,Forest,3,Invertebrate,10,0,0,0,0,0,0,0,0,10,,1,1,1.523,,,,,,,,,,CP,A,,,3,5,B,,,,,,,,,,,No,,1,,,1
25462,Black-faced Warbler,Abroscopus schisticeps,Abroscopus schisticeps,Abroscopus schisticeps,Abroscopus schisticeps,Abroscopus schisticeps,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Abroscopus,schisticeps,"WEANA, BSEA, BOTW",LC,0,0,I,2,,,,,4,6,5.00,,1525,825,2350,,1,4,,3,,,,,,,2,,,,,,Forest,4,Invertebrate,10,0,0,0,0,0,0,0,0,10,,1,1,1.398,0,1,0,0,0,0,,,,,"A,R,T",,,4,5,,,,,,,,,,,,No,,1,,,1
25447,Yellow-bellied Warbler,Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Abroscopus,superciliaris,"WEANA, BSEA, BOTW, D23",LC,0,0,I,2,7.4,8.5,8.1,9.3,6,7,7.72,,L,NA,1525,2285,1,2,,4,,,,,,,3,,,,,,Forest,4,Invertebrate,10,0,0,0,0,0,0,0,0,10,,1,1,1.398,0,1,1,0,0,0,,,,CP,A,,,2,5,B,,,,,0,1-Jan,,,,,No,,1,,,1
728,Wattled Guan,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,Aburria aburri,Galliformes,Cracidae,Cracidae,Cracidae,Cracidae,Aburria,aburri,"HBW2, BOTW, D07",LC,0,0,L,1,1195,1470,1430,1550,1195,1550,1398.33,0,400,2100,2500,3500,1,,,2,,,,,,,,,,,,,Forest,2,Fruit,0,8.75,0,T,0,0,0,1.25,0,10,,2,1,1.398,0,0,1,1,0,0,,,,CP,T,,,,,,,,,,,,,,,,No,,1,,,1
19473,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,Passeriformes,Meliphagidae,Meliphagidae,Meliphagidae,Meliphagidae,Acanthagenys,rufogularis,"ANZAB, BOTW",LC,0,0,A,2,34,57,39,77,,,51.75,,0,1000,1000,,3,,2,1,,,,4,5,7,,6,,,,,Shrub,7,Omnivore,2,4,2,1,1,0,0,0,0,10,,5,1,0.456,0,0,1,1,0,0,,,,CP,"S,T",,,2,3,,14,15,14,19,0,1,57,,,,No,2,,1,,1
37529,Peg-billed Finch,Acanthidops bairdi,Acanthidops bairdi,Acanthidops bairdi,Acanthidops bairdi,Acanthidops bairdi,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Acanthidops,bairdi,"BCR, BOTW, D23",LC,1,0,L,1,,,,,16,16.8,16.40,,1500,1600,3100,,1,2,,,,3,,,,,,,,,,,Forest,3,Invertebrate,6,1,1,2,0,0,0,0,0,10,,4,1,0.921,0,0,1,1,0,0,,,,CP,S,,,4,4,F,12,14,,,,,,,,,No,,,1,,
34641,Redpoll,Acanthis flammea,Acanthis flammea,Acanthis flammea,Acanthis flammea,Acanthis flammea,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Acanthis,flammea,"FASP, EMN, BOTW, D23",LC,0,0,NP,4,9.9,19.6,10.2,20.2,10.1,22.8,15.47,,0,2100,2100,,4,,2,3,,7,1,10,11,8,5,9,6,,,,Plains,11,Seed,2,T,0,6,0,0,0,2,0,10,,3,1,0.481,1,1,1,0,1,0,1,0,3,CP,T,1,2,3,7,F,10,12,9,16,0,1,,,,,No,1,1,1,,1
14212,Rifleman,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Passeriformes,Acanthisittidae,Acanthisittidae,Acanthisittidae,Acanthisittidae,Acanthisitta,chloris,"ANZAB, BOTW, D07",LC,0,1,Z,3,7,8.5,5,7,,,6.88,,0,1550,1550,,1,,,3,,,,,,4,2,5,,,,,Forest,5,Invertebrate,8,1,0,0,0,0,1,0,0,10,,3,1,0.824,0,0,1,0,0,0,1,0,1,DM,"G,P,T",1,2,2,5,B,19,21,21,27,,,,,3.3,3.9,No,,1,,1,1
19717,Inland Thornbill,Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis,Passeriformes,Acanthizidae,Acanthizidae,Acanthizidae,Acanthizidae,Acanthiza,apicalis,"ANZAB, BOTW, D07",LC,0,0,A,2,7,,,,6.5,8.5,7.33,,0,1000,1000,,,,1,2,,,,,,4,3,,,,,,Woodland,4,Invertebrate,9,0,0,1,0,0,0,0,0,10,,2,1,1.097,0,0,1,0,0,0,,,,"DM,PN",T,,,2,3,,19,21,16,18,0,1,31.3,,0.8,,No,,,1,,1
19695,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Passeriformes,Acanthizidae,Acanthizidae,Acanthizidae,Acanthizidae,Acanthiza,chrysorrhoa,"CBAB, BOTW, D07",LC,0,0,A,2,8.8,,,,8.4,9.9,9.03,,0,800,800,,,,1,2,,,,,,,,,,,,,Woodland,2,Invertebrate,8,0,T,2,0,0,0,0,0,10,,2,1,1.398,,,,,,,,,3,DM,"N,S,T",,,2,5,F,16,18,17,21,0,1,33.9,,1.07,,No,,,,,1
