avonet_species_name,species,name_change,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Daption capense,Daption capense,0,Procellariiformes,LC,No,Volant,429.6,59.4,Marine,Carnivore,Aquatic predator,-48.84,36.6,21.6,10.8,9.3,42.6,249.8,145.5,99.8,94,Procellariidae,LC,0,18.73041672,6.062901097,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.4949232,4.498697941
Sula dactylatra,Sula dactylatra,0,Suliformes,LC,No,Volant,1732.1,62.4,Marine,Carnivore,Aquatic predator,-1.77,96,96,26.2,34.2,54,412.2,257.2,155,171.2,Sulidae,LC,0,18.66811265,7.457078277,AquaticAnimals,AquaticPlunge,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0.405465108,0.53182959,5.120983351
Sula sula,Sula sula,0,Suliformes,LC,No,Volant,1031.1,62,Marine,Carnivore,Aquatic predator,-1.92,79.3,79,21.5,25.9,35.2,366.8,229.2,140.8,193.8,Sulidae,LC,0,18.62237217,6.938381473,AquaticAnimals,AquaticPlunge,PartiallyMigratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.53182959,5.285738584
Bulweria bulwerii,Bulweria bulwerii,0,Procellariiformes,LC,No,Volant,99,62.1,Marine,Carnivore,Aquatic predator,7.36,21.6,15.6,4.8,6.7,26.9,203.2,126,76.8,110.8,Procellariidae,LC,0,18.49959499,4.595018835,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.53182959,5.930120917
Pterodroma inexpectata,Pterodroma inexpectata,0,Procellariiformes,NT,No,Volant,316,66.5,Marine,Carnivore,Aquatic predator,-18.74,25.5,19.4,7,9.1,31.9,249.8,166.2,83.5,91.5,Procellariidae,NT,0,18.49831805,5.755742214,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.619073091
Thalassarche melanophris,Thalassarche melanophris,0,Procellariiformes,LC,No,Volant,3202.9,64.2,Marine,Carnivore,Aquatic predator,-46.46,119.3,84.6,22.1,35.2,80.3,513.2,331.2,184.8,193.2,Diomedeidae,NT,0,18.49162854,8.071824417,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.4949232,4.130355
Fulmarus glacialoides,Fulmarus glacialoides,0,Procellariiformes,LC,No,Volant,793.4,49.5,Marine,Carnivore,Aquatic predator,-52.75,45.7,27.4,10.2,11.9,47.9,315,154.2,156.2,113.6,Procellariidae,LC,0,18.39421248,6.676352716,AquaticAnimals,AquaticSurface,Migratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.4949232,4.404277244
Macronectes giganteus,Macronectes giganteus,0,Procellariiformes,LC,No,Volant,3591.7,44.8,Marine,Omnivore,Omnivore,-52.2,91.6,42.4,19.4,27.2,85.4,493.6,217.5,267,178.2,Procellariidae,LC,0,18.36575385,8.186378123,Ca,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.427238977
Fregata ariel,Fregata ariel,0,Suliformes,LC,No,Volant,804.3,64.6,Marine,Carnivore,Aquatic predator,-2.33,91.4,76.8,19.9,17.2,14.9,513,333,183.5,277,Fregatidae,LC,0,18.35502427,6.6899972,AquaticAnimals,AerialScreaning,Migratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.547722558,5.661918271
Macronectes halli,Macronectes halli,0,Procellariiformes,LC,No,Volant,4206.3,43.7,Marine,Omnivore,Omnivore,-48.41,101.7,47.6,21.4,31,88.9,498,216.5,278.8,165.8,Procellariidae,LC,0,18.29990896,8.34433868,Ca,ForagingGeneralist,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.374498368
