order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Anura,Leptodactylidae,Pleurodema thaul,LC,wild,-27.1,-69.88333333,1702,acclimated,adults,10,14,adults,CTmax,LRR,ambient,30,0.8,12,39.148,90
Anura,Leptodactylidae,Pleurodema thaul,LC,wild,-27.1,-69.88333333,1702,acclimated,adults,20,14,adults,CTmax,LRR,ambient,30,0.8,12,38.56,90
Anura,Leptodactylidae,Pleurodema thaul,LC,wild,-40.65,-72.16666667,411,acclimated,adults,10,14,adults,CTmax,LRR,ambient,30,0.8,12,36.842,40
Anura,Leptodactylidae,Pleurodema thaul,LC,wild,-40.65,-72.16666667,411,acclimated,adults,20,14,adults,CTmax,LRR,ambient,30,0.8,12,37.636,40
Anura,Bufonidae,Anaxyrus americanus,LC,wild,41.68786944,-80.42608056,333,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,40.7,15
Anura,Hylidae,Hyla versicolor,LC,wild,41.6911,-80.49918611,317,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,41.7,15
Anura,Hylidae,Pseudacris crucifer,LC,wild,41.56905556,-80.45250833,371,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,39.4,15
Anura,Ranidae,Rana cascadae,NT,wild,44.48064167,-121.9943556,1139,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,37.8,15
Anura,Ranidae,Rana luteiventris,LC,wild,46.73545833,-116.9211167,863,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,37.9,15
Anura,Ranidae,Rana sphenocephala,LC,wild,34.91055556,-76.9875,10,acclimated,larvae,20,4.5,larvae,CTmax,prodding,water,20,0.05,12,40.1,15
Anura,Hylidae,Hylomantis aspera,LC,wild,-14.6475,-39.221,105,acclimated,larvae,20,3.5,larvae,CTmax,prodding,water,20,0.25,12,39.1,2
