Seq.,Order,Family name,Family,Common name,Scientific_name,2025 IUCN Red List category,Residential_Commercial_Development,Agriculture_Aquaculture,Energy_Production_Mining,Transportation_Service_Corridors,Biological_Resource_Use,Human_Intrusions_Disturbance,Natural_System_Modifications,Invasive_Other_Problematic_Species,Pollution,Geological_Events,Climate_Change_Severe_Weather,Other_Options
1,STRUTHIONIFORMES,Struthionidae,Ostriches,Common Ostrich,Struthio camelus,LC,0,0,0,0,0,0,0,0,0,0,0,0
2,STRUTHIONIFORMES,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,VU,0,1,0,0,1,0,0,0,0,0,0,0
3,STRUTHIONIFORMES,Rheidae,Rheas,Greater Rhea,Rhea americana,NT,0,1,0,0,1,0,0,0,0,0,0,0
4,STRUTHIONIFORMES,Rheidae,Rheas,Lesser Rhea,Rhea pennata,LC,1,1,0,0,1,0,0,0,0,0,0,0
5,STRUTHIONIFORMES,Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC,0,0,0,0,0,0,0,0,0,0,0,0
6,STRUTHIONIFORMES,Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,LC,0,0,0,0,1,0,0,0,0,0,0,0
7,STRUTHIONIFORMES,Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,LC,0,1,0,0,0,0,0,0,0,0,0,0
8,STRUTHIONIFORMES,Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,VU,0,1,0,0,1,0,0,0,0,0,0,0
9,STRUTHIONIFORMES,Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,NT,1,1,0,1,1,0,0,0,0,0,0,0
10,STRUTHIONIFORMES,Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,VU,0,1,1,0,1,0,0,0,0,0,0,0
11,STRUTHIONIFORMES,Tinamidae,Tinamous,Great Tinamou,Tinamus major,LC,0,1,1,1,1,0,0,0,0,0,0,0
12,STRUTHIONIFORMES,Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,NT,0,1,0,0,1,0,0,0,0,0,0,0
13,STRUTHIONIFORMES,Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC,0,0,0,0,0,0,0,0,0,0,0,0
14,STRUTHIONIFORMES,Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC,0,0,0,0,0,0,0,0,0,0,0,0
15,STRUTHIONIFORMES,Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC,0,1,0,0,1,0,1,0,0,0,0,0
16,STRUTHIONIFORMES,Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,LC,0,0,0,0,0,0,0,0,0,0,0,0
